"runtime","title","vote_average","vote_count","Action","Adventure","Animation","Comedy","Crime","Documentary","Drama","Family","Fantasy","Foreign","History","Horror","Music","Mystery","Romance","Science.Fiction","Thriller","TV.Movie","War","Western","log_budget","log_revenue","title_length","age"
116,"Ocean's Eleven",7.2,3783,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.2581618144546,19.9263505388562,14,6128
105,"Edward Scissorhands",7.5,3601,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,16.8112428315183,17.7858024715164,19,10148
125,"Ocean's Twelve",6.4,2124,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.5159909237567,19.7092086811687,14,5030
108,"Back to the Future Part II",7.4,3829,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,17.5043900120782,19.6206455268808,26,10528
120,"K-PAX",7.1,695,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17.6867115688722,17.7338165838161,5,6174
119,"Star Trek IV: The Voyage Home",6.9,477,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.9935643883122,18.705859686186,29,11619
108,"Predator 2",5.9,730,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,17.3708586194537,17.860670443207,10,10163
113,"28 Days Later",7.1,1777,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,15.4249484703984,18.2309705784913,13,5800
107,"Star Trek V: The Final Frontier",5.6,376,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,17.2167079396264,18.066858868996,31,10692
127,"20,000 Leagues Under the Sea",6.8,157,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15.4249484703984,17.1548325359083,28,23279
113,"Star Trek VI: The Undiscovered Country",6.7,413,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,17.1113474239686,18.389190076861,38,9783
103,"Saw",7.2,2184,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13.9978321147582,18.4590517596765,3,5099
137,"The Fisher King",7.2,341,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9935643883122,17.5506887657365,15,9870
128,"The Interpreter",6.2,392,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.1975371926382,18.9089228059659,15,4910
145,"Minority Report",7.1,2608,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,18.4404833712485,19.697084694917,15,5933
108,"The Good German",5.9,86,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,17.281246460764,15.5929865015966,15,4301
154,"Jackie Brown",7.3,1514,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.3004172077523,17.4961854969016,12,7572
110,"Lucky Number Slevin",7.4,1323,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,17.1113474239686,17.846362824897,19,4588
124,"Sin City",7.2,2691,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17.5043900120782,18.8827392692829,8,4917
102,"Sin City: A Dame to Kill For",6.3,1286,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17.9898978278599,17.4894696550806,28,1489
118,"Star Trek: Generations",6.4,452,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,17.4530967176907,18.6030023007463,22,8705
122,"Amélie",7.8,3310,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.1180956509583,18.9741172163247,6,6354
118,"Back to the Future Part III",7.1,2900,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,17.5043900120782,19.3148386744221,27,10342
177,"Braveheart",7.7,3336,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,18.0921766769803,19.1626180886817,10,8517
111,"Star Trek: First Contact",7,661,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,17.6441519544534,18.8261458520605,24,7970
103,"Star Trek: Insurrection",6.3,391,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,18.0640058000136,18.5861951824299,23,7221
117,"Star Trek: Nemesis",6.1,479,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,17.9098551201864,18.0248613559518,18,5757
110,"Mean Streets",7.2,345,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1223633774043,14.9141228466324,12,16421
121,"Hotel Rwanda",7.5,793,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,16.6777114388937,17.4530967176907,12,5119
129,"Dead Poets Society",8.1,2705,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6127918927944,19.2787494584432,18,10699
108,"Saw III",6.1,1071,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,16.1180956509583,18.9146255755017,7,4343
92,"Saw II",6.3,1251,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.2018049190842,18.845458771234,6,4707
122,"Indiana Jones and the Kingdom of the Crystal Skull",5.7,2495,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0358663830426,20.4832762254559,50,3771
108,"The Terminator",7.3,4128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,15.6718085483299,18.1769670708934,14,12379
121,"Volver",7.3,406,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,16.3727275592012,18.2649902942877,6,4568
130,"Rebecca",7.7,336,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,14.0686011856464,15.6072700271923,7,28647
118,"Boys Don't Cry",7.2,353,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5086577385242,16.2613824173143,14,6955
91,"The Outsiders",6.9,291,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1180956509583,17.3329385709265,13,12960
128,"Syriana",6.3,451,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,17.7275335633924,18.3588053402343,7,4681
89,"Stand by Me",7.8,1522,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8949520996441,17.7722662499787,11,11714
175,"The Godfather",8.4,5893,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6072700271923,19.3170397970836,13,16988
122,"Some Like It Hot",8,808,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14.8746360714211,17.0343863828325,16,21733
200,"The Godfather: Part II",8.3,3338,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3804599154258,17.6771417783127,22,15977
162,"The Godfather: Part III",7.1,1546,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,17.8044946045285,18.7337824475793,23,10129
113,"High Fidelity",7,628,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,17.2167079396264,17.668341683461,13,6758
101,"About a Boy",6.6,607,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,17.1113474239686,18.6753229623259,11,5988
136,"Pocketful of Miracles",7.3,25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8802212949567,15.4249484703984,21,20727
127,"Ghost",6.9,1339,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,16.9065530113226,20.0400689872396,5,10294
100,"Willy Wonka & the Chocolate Factory",7.4,798,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,14.9141228466324,15.2018049190842,35,17247
121,"Live and Let Die",6.4,533,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15.7614207070196,18.9017345692747,16,16510
187,"King Kong",6.6,2337,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1482293512296,20.1254288361908,9,4660
108,"Cat on a Hot Tin Roof",7.6,165,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,14.9141228466324,16.6817219005169,21,22127
126,"Batman",7,2096,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17.3708586194537,19.8349523757985,6,10678
140,"Batman Begins",7.5,7359,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8261458520605,19.7403508716816,13,4847
119,"The Silence of the Lambs",8.1,4443,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16.7599495371307,19.4240402318366,24,10090
121,"Underworld",6.6,2512,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16.9065530113226,18.3768172224247,10,5477
142,"The Shawshank Redemption",8.5,8205,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0343863828325,17.1598366257458,24,8760
160,"Amadeus",7.8,1076,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,16.7058823158604,17.7662354689114,7,12379
