"","end_result","game","game_id","period","play","player","playoffs","score","season","shot_made","time","home_game","score1","score2","cur_score","opp_score","first_shot","missed_first","made_first","cur_time","losing","losing_alot","score_ratio","loss_sq","win_sq","prod1"
"77","81 - 86","CLE - MIA",270225014,4,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","74 - 80","2006 - 2007",0,"1:50",0,74,80,80,74,1,0,0,110,FALSE,FALSE,1.06666666666667,1156,1024,0
"78","81 - 86","CLE - MIA",270225014,4,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","74 - 80","2006 - 2007",0,"1:50",0,74,80,80,74,0,1,0,110,FALSE,FALSE,1.06666666666667,1156,1024,0
"79","93 - 99","MIA - NY",270226018,3,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","42 - 45","2006 - 2007",1,"10:45",1,42,45,41,45,1,0,0,645,TRUE,FALSE,0.891304347826087,1156,1024,0
"80","93 - 99","MIA - NY",270226018,3,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","42 - 45","2006 - 2007",0,"10:45",1,42,45,42,45,0,0,1,645,TRUE,FALSE,0.91304347826087,1156,1024,1
"81","93 - 99","MIA - NY",270226018,4,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","92 - 94","2006 - 2007",0,"0:43",1,92,94,92,94,1,0,0,43,TRUE,FALSE,0.968421052631579,1156,1024,0
"82","93 - 99","MIA - NY",270226018,4,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","93 - 94","2006 - 2007",1,"0:43",1,93,94,92,94,0,1,0,43,TRUE,FALSE,0.968421052631579,1156,1024,0
"83","92 - 83","MIA - WSH",270228027,2,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","44 - 40","2006 - 2007",0,"2:05",1,44,40,44,40,1,0,0,125,FALSE,FALSE,1.07317073170732,1156,1024,0
"84","92 - 83","MIA - WSH",270228027,2,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","44 - 40","2006 - 2007",0,"2:05",1,44,40,44,40,0,1,0,125,FALSE,FALSE,1.07317073170732,1156,1024,0
"85","92 - 83","MIA - WSH",270228027,3,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","51 - 49","2006 - 2007",0,"9:23",1,51,49,51,49,1,0,0,563,FALSE,FALSE,1.02,1156,1024,0
"86","92 - 83","MIA - WSH",270228027,3,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","52 - 49","2006 - 2007",1,"9:23",1,52,49,51,49,0,1,0,563,FALSE,FALSE,1.02,1156,1024,0
"87","92 - 83","MIA - WSH",270228027,4,"Shaquille O'Neal misses free throw 1 of 1","Shaquille O'Neal","regular","73 - 67","2006 - 2007",0,"10:11",1,73,67,73,67,1,0,0,611,FALSE,FALSE,1.07352941176471,1156,1024,0
"88","92 - 83","MIA - WSH",270228027,4,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","75 - 72","2006 - 2007",0,"6:13",1,75,72,75,72,1,0,0,373,FALSE,FALSE,1.02739726027397,1156,1024,0
"89","92 - 83","MIA - WSH",270228027,4,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","75 - 72","2006 - 2007",0,"6:13",1,75,72,75,72,0,1,0,373,FALSE,FALSE,1.02739726027397,1156,1024,0
"90","82 - 85","DET - MIA",270302014,1,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","4 - 8","2006 - 2007",0,"6:43",0,4,8,8,4,1,0,0,403,FALSE,FALSE,1.6,1156,1024,0
"91","82 - 85","DET - MIA",270302014,1,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","4 - 9","2006 - 2007",1,"6:43",0,4,9,8,4,0,1,0,403,FALSE,FALSE,1.6,1156,1024,0
"92","82 - 85","DET - MIA",270302014,1,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","4 - 10","2006 - 2007",1,"6:16",0,4,10,9,4,1,0,0,376,FALSE,FALSE,1.8,1156,1024,0
"93","82 - 85","DET - MIA",270302014,1,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","4 - 10","2006 - 2007",0,"6:16",0,4,10,10,4,0,0,1,376,FALSE,FALSE,2,1156,1024,0
"94","82 - 85","DET - MIA",270302014,1,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","6 - 12","2006 - 2007",0,"4:54",0,6,12,12,6,1,0,0,294,FALSE,FALSE,1.71428571428571,1156,1024,0
"95","82 - 85","DET - MIA",270302014,1,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","6 - 12","2006 - 2007",0,"4:54",0,6,12,12,6,0,1,0,294,FALSE,FALSE,1.71428571428571,1156,1024,0
"96","82 - 85","DET - MIA",270302014,3,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","39 - 54","2006 - 2007",0,"6:50",0,39,54,54,39,1,0,0,410,FALSE,FALSE,1.35,1156,1024,0
"97","82 - 85","DET - MIA",270302014,3,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","39 - 55","2006 - 2007",1,"6:50",0,39,55,54,39,0,1,0,410,FALSE,FALSE,1.35,1156,1024,0
"98","82 - 85","DET - MIA",270302014,3,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","41 - 56","2006 - 2007",1,"6:11",0,41,56,55,41,1,0,0,371,FALSE,FALSE,1.30952380952381,1156,1024,0
"99","82 - 85","DET - MIA",270302014,3,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","41 - 56","2006 - 2007",0,"6:11",0,41,56,56,41,0,0,1,371,FALSE,FALSE,1.33333333333333,1156,1024,0
"100","82 - 85","DET - MIA",270302014,3,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","47 - 58","2006 - 2007",0,"3:44",0,47,58,58,47,1,0,0,224,FALSE,FALSE,1.20833333333333,1156,1024,0
"101","82 - 85","DET - MIA",270302014,3,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","47 - 59","2006 - 2007",1,"3:44",0,47,59,58,47,0,1,0,224,FALSE,FALSE,1.20833333333333,1156,1024,0
"102","82 - 85","DET - MIA",270302014,4,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","74 - 74","2006 - 2007",1,"3:02",0,74,74,73,74,1,0,0,182,TRUE,FALSE,0.973333333333333,1156,1024,0
"103","82 - 85","DET - MIA",270302014,4,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","74 - 75","2006 - 2007",1,"3:02",0,74,75,74,74,0,0,1,182,FALSE,FALSE,0.986666666666667,1156,1024,0
"104","81 - 88","ATL - MIA",270305014,1,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","8 - 4","2006 - 2007",0,"5:56",0,8,4,4,8,1,0,0,356,TRUE,FALSE,0.444444444444444,1156,1024,0
"105","81 - 88","ATL - MIA",270305014,1,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","8 - 5","2006 - 2007",1,"5:56",0,8,5,4,8,0,1,0,356,TRUE,FALSE,0.444444444444444,1156,1024,0
"106","81 - 88","ATL - MIA",270305014,1,"Shaquille O'Neal makes free throw 1 of 1","Shaquille O'Neal","regular","10 - 8","2006 - 2007",1,"5:18",0,10,8,7,10,1,0,0,318,TRUE,FALSE,0.636363636363636,1156,1024,0
"107","81 - 88","ATL - MIA",270305014,2,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","17 - 22","2006 - 2007",0,"9:00",0,17,22,22,17,1,0,0,540,FALSE,FALSE,1.22222222222222,1156,1024,0
"108","81 - 88","ATL - MIA",270305014,2,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","17 - 22","2006 - 2007",0,"9:00",0,17,22,22,17,0,1,0,540,FALSE,FALSE,1.22222222222222,1156,1024,0
"109","81 - 88","ATL - MIA",270305014,2,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","20 - 26","2006 - 2007",0,"5:52",0,20,26,26,20,1,0,0,352,FALSE,FALSE,1.23809523809524,1156,1024,0
